LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,Total Defaults,Total Bill Amount,Total Pay Amount,Overall Outstanding,default payment next month
150000,2,5,2,46,0,0,0,0,0,0,0,9837,2183,7654,1
380000,1,2,2,32,0,0,0,0,0,0,0,114815,93332,21483,0
20000,1,1,2,24,0,0,0,0,0,0,0,115810,6246,109564,0
70000,1,3,2,42,1,2,2,2,2,0,5,229012,8100,220912,1
100000,2,3,3,43,0,0,0,0,0,0,0,265185,9606,255579,0
310000,2,2,1,49,0,0,0,0,0,0,0,44125,30668,13457,0
180000,2,1,2,25,1,2,0,0,0,0,2,259151,10246,248905,0
150000,2,1,2,29,2,0,0,0,0,0,1,176751,12867,163884,0
500000,2,1,1,45,0,0,0,0,0,0,0,8388,6483,1905,0
180000,2,3,1,34,0,0,0,0,0,0,0,55404,29179,26225,0
180000,2,2,1,34,0,0,0,0,0,0,0,952362,34062,918300,0
200000,2,1,2,34,0,3,2,2,2,2,5,6747,1900,4847,0
400000,2,2,1,29,0,0,0,0,0,0,0,2284140,109029,2175111,0
500000,2,3,1,28,0,0,0,0,0,0,0,109699,8816,100883,1
70000,1,2,1,39,0,0,0,0,0,0,0,244242,12120,232122,0
50000,1,1,2,29,2,2,2,2,2,2,6,157674,6125,151549,1
50000,2,2,1,46,0,0,0,0,0,0,0,57884,1000,56884,1
130000,2,2,1,51,0,0,0,0,0,0,0,2452,2353,99,0
200000,1,1,1,57,0,0,0,0,2,2,2,469636,9522,460114,1
10000,1,2,1,56,2,2,2,0,0,0,3,22852,3010,19842,1
210000,2,1,2,30,2,0,0,0,0,0,1,8589,9198,-609,0
130000,2,3,2,29,1,0,0,0,2,0,2,7901,41379,-33478,0
20000,1,5,2,22,2,0,0,0,0,0,1,88326,3700,84626,0
80000,1,1,2,31,0,0,0,0,0,0,0,2340,1950,390,0
320000,1,2,2,29,2,2,2,2,2,2,6,362152,13800,348352,1
200000,2,2,1,32,0,0,0,0,2,0,1,26425,19512,6913,0
290000,2,1,2,37,1,0,0,0,0,0,1,5514,5514,0,0
340000,1,1,2,32,0,0,0,0,0,0,0,142199,141997,202,0
20000,1,2,2,24,0,0,2,0,0,0,1,101328,5590,95738,0
50000,1,3,2,25,0,0,0,0,0,0,0,145406,6358,139048,0
300000,2,1,1,45,0,0,0,0,0,0,0,1746,1746,0,0
30000,2,2,2,22,0,0,0,0,0,0,0,149186,8411,140775,1
240000,2,2,2,44,1,0,0,0,0,0,1,0,0,0,1
470000,2,3,3,33,0,0,0,0,0,0,0,614823,21926,592897,0
360000,2,1,2,26,0,0,0,0,0,0,0,294903,161355,133548,0
60000,1,3,2,30,0,0,0,0,0,0,0,143566,5345,138221,1
400000,2,2,1,44,0,0,2,0,0,0,1,700952,22753,678199,0
50000,2,3,2,49,0,0,0,0,0,0,0,177499,6052,171447,0
160000,1,2,2,33,0,0,0,0,0,0,0,667013,101747,565266,0
360000,2,1,1,45,0,0,2,0,0,0,1,3510,2340,1170,1
160000,2,2,2,32,0,0,0,0,0,0,0,31623,8216,23407,0
130000,2,1,1,35,0,0,0,0,0,0,0,226534,56705,169829,0
20000,1,3,2,44,2,2,0,0,0,2,3,61309,6151,55158,0
200000,1,1,1,53,2,2,2,2,2,2,6,862167,32800,829367,1
280000,2,1,2,39,0,0,0,0,0,0,0,15360,3968,11392,0
100000,2,1,2,27,0,0,0,0,0,0,0,3555,7555,-4000,0
160000,2,2,1,37,0,0,0,0,0,0,0,4162,11018,-6856,0
60000,2,2,2,23,0,0,0,0,0,0,0,197839,6261,191578,0
90000,1,2,2,35,0,0,0,0,0,0,0,354716,11756,342960,0
360000,1,1,1,43,0,0,0,0,0,0,0,58460,120613,-62153,0
150000,1,1,2,27,0,0,0,0,0,0,0,479411,23841,455570,0
50000,2,3,1,22,0,0,0,0,0,0,0,83794,3783,80011,0
20000,1,2,1,38,0,0,0,0,0,0,0,93217,5685,87532,1
140000,1,1,2,32,0,0,0,0,0,0,0,13679,13007,672,0
380000,2,1,2,30,0,0,0,0,0,0,0,132602,42019,90583,0
480000,1,1,1,63,0,0,0,2,2,0,2,2761015,130971,2630044,0
50000,2,3,2,22,0,0,0,0,0,0,0,205366,6870,198496,1
60000,2,2,2,26,2,2,2,2,2,0,5,342038,13517,328521,0
70000,2,2,2,24,0,0,0,0,0,0,0,32109,28529,3580,0
80000,2,2,1,36,0,0,0,0,0,0,0,17865,12794,5071,0
350000,1,1,2,52,0,0,0,0,0,0,0,10987,15285,-4298,0
130000,1,2,2,38,0,0,0,0,0,0,0,680938,287768,393170,0
360000,1,2,1,35,1,0,0,0,0,0,1,-618,0,-618,0
330000,2,1,1,31,0,0,2,0,0,0,1,639580,32747,606833,0
50000,1,3,1,47,0,0,2,0,0,0,1,93139,7000,86139,0
280000,1,2,1,41,2,2,2,2,2,3,6,855008,40604,814404,0
100000,2,1,2,24,0,0,0,0,0,0,0,335186,17866,317320,0
50000,1,2,2,41,0,0,0,0,0,0,0,119110,5471,113639,0
30000,1,1,2,24,0,2,0,0,3,2,3,117660,6312,111348,1
240000,1,1,2,28,0,0,0,0,0,0,0,7456,7656,-200,0
80000,1,2,2,26,2,0,0,0,0,0,1,99022,7700,91322,1
400000,1,2,1,34,0,0,0,0,0,0,0,71828,57891,13937,0
240000,2,2,2,38,0,0,0,0,0,0,0,209703,11073,198630,0
50000,1,3,2,37,2,2,2,3,2,2,6,290245,10235,280010,1
450000,1,1,1,40,1,0,0,0,0,0,1,0,0,0,1
110000,2,1,1,48,1,0,0,0,0,0,1,0,0,0,0
310000,2,2,1,35,2,0,0,0,0,0,1,1626538,53973,1572565,1
20000,1,1,2,27,0,0,0,0,0,0,0,112100,4308,107792,0
20000,1,2,2,23,1,0,0,0,0,0,1,0,0,0,0
200000,1,3,2,52,0,0,0,0,0,0,0,617685,22056,595629,0
180000,1,1,1,36,0,0,0,0,0,0,0,668882,14771,654111,1
50000,1,2,1,51,0,0,0,0,0,0,0,30548,6200,24348,1
60000,1,3,1,55,3,2,2,0,0,0,3,264125,7511,256614,0
30000,2,1,2,23,1,0,0,0,0,0,1,32776,31886,890,0
240000,1,1,2,41,1,0,0,0,0,0,1,11279,8944,2335,0
420000,1,2,1,34,0,0,0,0,0,0,0,1349911,53309,1296602,0
330000,1,3,1,46,0,0,0,0,0,0,0,1369317,49096,1320221,0
30000,2,2,2,22,0,0,0,0,0,0,0,123482,5460,118022,0
240000,1,2,1,34,0,0,0,2,2,2,3,77708,4627,73081,0
150000,1,1,2,27,0,0,0,0,0,0,0,140829,20000,120829,0
210000,2,2,1,33,0,0,0,0,0,0,0,43256,7046,36210,0
50000,2,3,1,51,0,0,0,0,0,0,0,6932,6180,752,1
50000,1,1,2,24,0,0,0,0,0,0,0,208330,8960,199370,0
240000,1,1,2,47,1,0,0,0,0,0,1,0,0,0,1
180000,1,2,2,28,0,0,0,0,0,0,0,3828,5580,-1752,0
50000,1,2,2,23,1,2,2,2,0,0,4,99487,13500,85987,0
170000,1,2,2,29,0,0,0,0,0,0,0,67988,65846,2142,0
20000,1,1,2,29,0,0,0,0,0,0,0,26510,23641,2869,0
50000,1,1,2,28,0,0,0,0,0,3,1,48184,7183,41001,0
170000,2,2,2,27,0,0,0,0,0,0,0,105012,3752,101260,1
200000,1,1,2,34,1,2,0,0,0,0,2,794273,87000,707273,0
80000,2,2,1,23,1,2,3,2,0,0,4,61950,4121,57829,0
260000,2,1,1,60,1,0,0,0,0,0,1,21038,24469,-3431,0
140000,1,2,1,32,0,0,0,0,2,0,1,411323,16267,395056,0
80000,1,1,2,25,0,0,0,0,0,0,0,256528,63000,193528,0
350000,1,1,2,41,1,0,0,0,0,0,1,4744,4536,208,0
280000,2,2,1,56,0,0,0,0,0,0,0,971621,133200,838421,0
30000,2,3,2,26,0,0,0,0,0,0,0,70072,8700,61372,0
140000,1,1,1,34,0,0,0,0,0,0,0,222980,35389,187591,0
200000,2,1,2,37,0,0,0,0,0,0,0,575407,22560,552847,0
200000,2,3,2,30,0,0,0,0,0,0,0,1018160,37788,980372,0
210000,1,3,1,45,2,3,4,4,5,6,6,805451,65268,740183,1
50000,1,3,1,57,3,2,0,0,0,0,2,79884,3800,76084,0
30000,1,1,2,41,2,2,2,2,2,0,5,162596,8150,154446,0
50000,1,2,2,27,2,0,0,0,0,2,2,3396,2640,756,0
290000,1,3,1,47,0,0,0,0,0,0,0,3637,2376,1261,0
250000,2,1,1,34,0,0,2,0,0,0,1,918942,39850,879092,0
60000,2,2,1,46,0,0,0,0,0,0,0,150304,10000,140304,0
110000,2,1,2,27,0,0,0,0,0,0,0,539339,21100,518239,0
370000,1,1,2,50,0,0,0,0,0,0,0,63070,61944,1126,0
100000,1,2,1,27,0,2,2,0,0,0,2,310089,55906,254183,0
90000,2,2,1,35,0,0,0,0,0,2,1,472951,24652,448299,0
50000,2,2,2,22,0,0,0,0,0,0,0,171359,6795,164564,0
270000,1,2,2,37,0,0,0,0,0,0,0,180209,19000,161209,0
300000,2,1,2,30,0,0,0,0,0,0,0,11780,11846,-66,0
50000,2,2,2,22,0,0,0,0,0,0,0,53787,31149,22638,0
50000,2,1,2,24,1,0,0,0,0,0,1,-11569,0,-11569,1
360000,1,1,2,29,1,0,0,0,0,0,1,77,77,0,0
130000,1,3,1,56,1,2,2,2,2,3,6,410575,14500,396075,1
80000,1,1,2,30,0,0,0,0,0,0,0,15624,6004,9620,0
50000,1,2,2,30,1,2,0,0,0,2,3,220483,6500,213983,0
20000,2,2,2,22,0,0,0,0,0,0,0,83914,6913,77001,0
80000,2,2,1,29,0,0,2,0,0,0,1,323559,8800,314759,0
240000,1,1,2,37,0,0,2,0,0,0,1,118261,84191,34070,0
80000,2,3,2,35,0,0,0,0,0,0,0,129487,29000,100487,0
500000,2,1,1,47,0,0,0,0,0,0,0,579243,222550,356693,0
60000,2,2,1,24,0,0,0,0,0,0,0,222443,10837,211606,1
20000,1,2,2,25,0,0,0,0,0,0,0,50904,5353,45551,0
100000,2,2,1,38,1,2,0,0,2,0,3,92351,5600,86751,1
360000,2,1,2,32,1,0,0,0,0,0,1,163546,199288,-35742,0
200000,2,3,2,47,2,2,2,2,2,2,6,1182582,35984,1146598,1
130000,2,2,1,34,1,0,0,0,0,0,1,57742,17397,40345,0
20000,2,2,2,31,1,5,4,4,3,2,6,125792,1760,124032,0
310000,1,1,2,32,0,0,0,0,0,0,0,353740,40419,313321,0
60000,2,1,2,27,2,0,0,0,2,0,2,130018,6752,123266,1
180000,2,1,2,29,0,0,0,0,0,0,0,45854,22881,22973,0
180000,2,1,2,24,0,0,2,0,0,0,1,68239,38067,30172,0
50000,1,2,1,36,0,0,0,0,0,0,0,84870,26511,58359,0
50000,2,1,2,24,1,2,2,2,2,2,6,228759,8132,220627,1
150000,2,2,1,34,0,0,0,0,0,0,0,1616,1616,0,0
20000,2,1,2,22,0,0,0,0,0,0,0,103511,24766,78745,0
500000,2,1,1,34,0,0,0,0,0,0,0,6457,21861,-15404,0
30000,2,3,2,22,1,2,2,0,0,0,3,117854,2903,114951,1
180000,2,1,1,38,0,0,0,0,0,0,0,750,0,750,0
140000,1,1,2,31,0,0,2,0,0,2,2,130872,38300,92572,0
140000,2,1,2,26,0,0,0,0,0,0,0,64236,49839,14397,0
120000,1,2,2,26,0,0,0,0,0,0,0,688894,29152,659742,0
360000,2,2,1,48,0,0,0,0,0,0,0,1202779,37500,1165279,0
20000,1,3,1,43,0,0,0,0,0,0,0,98941,31538,67403,0
100000,1,1,1,47,0,0,0,0,0,0,0,3033,5023,-1990,0
210000,2,2,1,41,0,0,0,0,0,0,0,9657,6988,2669,1
80000,2,2,2,24,0,0,0,0,0,0,0,391407,13838,377569,1
330000,2,1,1,50,0,0,0,0,0,0,0,19462,10868,8594,0
220000,1,1,2,24,0,0,0,0,0,0,0,419979,103985,315994,0
210000,2,1,1,38,1,0,0,0,0,0,1,2384,11877,-9493,1
40000,2,3,1,43,0,0,0,0,0,0,0,215945,8404,207541,0
30000,1,2,2,39,0,0,0,2,0,0,1,103603,8493,95110,0
470000,1,2,2,27,2,2,2,2,0,0,4,2002818,55690,1947128,0
30000,1,3,1,42,0,0,0,0,0,2,1,3510,2490,1020,0
240000,2,2,1,36,1,0,0,0,0,0,1,-5676,0,-5676,1
80000,1,2,2,36,2,0,0,0,0,0,1,470809,19500,451309,0
110000,2,3,0,31,0,0,0,0,0,0,0,453847,26954,426893,0
310000,2,1,2,38,0,0,0,0,0,0,0,6092,4668,1424,0
360000,2,1,1,40,2,2,2,0,0,0,3,685565,32100,653465,1
330000,2,3,2,45,0,0,0,0,0,0,0,2005418,73223,1932195,0
300000,2,2,2,35,0,0,0,0,0,0,0,1431315,74582,1356733,0
320000,2,2,2,33,0,0,0,0,0,0,0,437268,41866,395402,0
50000,2,3,2,37,1,3,2,0,0,0,3,243968,34317,209651,1
170000,2,1,2,28,0,0,0,0,0,0,0,772102,48549,723553,0
350000,1,3,1,44,0,0,0,0,0,0,0,8384,5119,3265,0
20000,1,2,1,37,0,0,0,0,0,0,0,108461,7564,100897,0
50000,1,2,2,23,2,0,0,0,0,0,1,202501,9074,193427,1
20000,2,3,2,24,1,2,0,0,0,0,2,63912,5133,58779,0
50000,2,1,2,24,0,0,0,0,0,0,0,132930,6732,126198,0
20000,1,2,2,23,1,2,0,0,2,0,3,94656,13200,81456,1
50000,1,2,1,26,0,0,0,0,0,0,0,197548,51938,145610,0
190000,1,2,2,34,2,0,0,0,2,2,3,828058,34887,793171,1
60000,2,2,1,33,0,0,0,0,0,0,0,175794,5935,169859,0
80000,1,1,2,35,0,0,0,0,0,0,0,41852,36293,5559,0
150000,2,2,2,27,0,0,0,0,0,0,0,399780,12625,387155,0
210000,2,1,2,31,0,0,0,0,0,0,0,18130,19989,-1859,0
240000,2,3,1,50,0,0,0,0,0,0,0,1313227,50997,1262230,1
140000,2,2,3,41,0,0,0,0,0,0,0,115854,13597,102257,1
60000,2,1,2,28,1,2,2,0,0,0,3,44436,2285,42151,0
50000,1,1,2,39,0,0,0,0,0,0,0,241244,12800,228444,0
50000,2,2,2,27,0,0,0,0,0,0,0,169234,7950,161284,0
180000,2,1,2,32,0,0,2,2,0,0,2,14634,5818,8816,0
30000,2,1,2,40,0,0,2,2,2,2,4,613,595,18,0
20000,2,2,2,40,0,0,0,0,0,0,0,79889,5918,73971,0
250000,2,2,1,75,0,0,0,0,0,0,0,63417,11727,51690,0
100000,2,2,2,27,0,0,0,0,0,0,0,196498,8260,188238,0
330000,1,1,2,25,0,0,0,0,2,0,1,256005,15230,240775,0
50000,1,3,1,46,0,0,0,0,0,0,0,117871,7027,110844,0
50000,2,2,2,26,1,2,2,0,0,0,3,240862,10062,230800,0
30000,1,2,2,28,0,0,0,0,0,0,0,135160,8056,127104,0
140000,2,2,2,26,0,0,0,0,0,0,0,631439,25041,606398,1
160000,2,1,2,28,0,0,0,0,0,0,0,337391,132311,205080,0
400000,2,2,2,29,0,0,0,0,0,0,0,34030,14825,19205,0
50000,1,2,1,25,0,0,0,0,0,0,0,173552,6842,166710,0
140000,2,2,1,48,0,0,0,0,0,0,0,27095,27501,-406,0
160000,2,2,1,33,0,0,0,0,0,0,0,82207,68661,13546,0
100000,2,3,1,43,0,0,0,0,0,0,0,62170,0,62170,0
220000,1,1,1,48,2,0,0,0,0,0,1,1129440,42020,1087420,1
510000,2,1,2,29,0,0,0,0,0,0,0,513211,160470,352741,0
50000,1,2,2,29,0,0,0,0,0,0,0,202201,16512,185689,0
160000,2,1,1,38,0,0,0,0,2,0,1,63277,44142,19135,0
230000,2,1,2,37,0,0,0,0,0,0,0,53735,51952,1783,0
80000,2,1,2,37,0,0,0,0,0,0,0,35054,28957,6097,0
150000,2,2,1,25,0,0,0,0,0,0,0,7104,1264,5840,0
10000,1,3,2,23,0,0,0,0,0,2,1,52136,3932,48204,0
130000,2,3,2,49,0,0,0,0,0,0,0,357781,9986,347795,1
40000,2,1,2,48,0,0,0,0,0,0,0,207975,9200,198775,0
50000,1,2,2,27,3,2,2,0,0,0,3,73717,6631,67086,1
100000,1,3,2,32,0,0,0,0,0,0,0,180209,9686,170523,0
120000,1,1,1,34,0,2,0,0,0,0,1,4414,1800,2614,0
260000,2,1,2,58,1,0,0,0,0,0,1,0,0,0,1
200000,2,2,2,33,0,0,0,0,0,0,0,80871,11522,69349,0
360000,2,2,2,28,0,0,0,0,0,0,0,0,0,0,1
70000,2,2,2,36,0,0,0,0,0,0,0,265753,28247,237506,0
460000,1,1,1,40,2,0,0,0,0,0,1,28039,27927,112,1
50000,2,1,2,26,0,0,0,0,0,0,0,2736,1896,840,0
50000,1,3,1,33,0,0,0,0,0,0,0,211791,7004,204787,0
250000,2,2,1,31,0,0,0,0,0,0,0,604011,26900,577111,0
30000,2,1,2,27,0,0,0,0,0,0,0,6448,3164,3284,0
270000,1,2,1,44,0,0,0,0,0,0,0,486594,144214,342380,0
180000,2,3,2,30,0,0,0,0,0,0,0,760211,27192,733019,0
100000,2,1,2,28,0,0,0,0,0,0,0,323182,20198,302984,0
230000,2,3,1,32,0,0,0,0,0,0,0,667517,29000,638517,0
210000,2,1,1,46,0,0,0,0,0,0,0,211039,120470,90569,0
210000,1,1,2,38,2,0,0,0,0,0,1,358970,13804,345166,0
440000,2,2,1,46,0,0,0,0,0,0,0,828179,29746,798433,0
100000,2,2,2,25,2,0,0,0,0,0,1,403638,13210,390428,1
240000,2,2,1,46,0,0,0,0,0,0,0,56097,6295,49802,0
280000,1,1,2,33,0,0,0,0,0,0,0,-336259,347739,-683998,1
50000,2,2,2,22,1,0,0,0,0,0,1,0,0,0,1
30000,1,2,1,43,3,2,2,2,2,2,6,12972,2000,10972,0
10000,1,2,2,27,0,0,2,0,0,0,1,56848,5470,51378,1
130000,1,1,2,29,1,0,0,0,0,0,1,0,1500,-1500,0
200000,1,1,2,31,0,0,0,0,0,0,0,978958,36425,942533,0
120000,2,2,1,29,0,0,0,0,0,0,0,7765,8715,-950,0
210000,2,2,1,36,0,0,0,0,0,0,0,858448,32709,825739,0
280000,2,1,1,36,0,0,0,0,0,0,0,273640,11718,261922,0
300000,1,1,2,34,1,0,0,0,0,0,1,45400,32799,12601,1
100000,1,2,2,37,0,0,0,0,0,0,0,462851,15303,447548,0
440000,2,1,2,36,0,0,0,0,0,0,0,0,162000,-162000,0
50000,2,3,1,40,0,0,0,0,0,0,0,154301,7606,146695,0
20000,2,1,2,25,0,0,2,0,0,0,1,98447,11500,86947,1
200000,2,1,2,27,0,0,0,0,0,0,0,18236,12927,5309,0
110000,2,2,2,26,0,0,0,0,0,0,0,12860,12124,736,0
500000,2,2,1,36,0,0,0,0,0,0,0,47529,37052,10477,0
300000,2,2,1,27,1,0,0,0,0,0,1,5215,5215,0,0
30000,1,3,1,55,2,2,2,3,3,4,6,72863,8900,63963,1
60000,2,1,2,27,0,0,0,0,0,0,0,65912,47111,18801,0
400000,2,2,1,38,0,0,0,0,0,0,0,21153,19153,2000,0
180000,2,2,1,34,0,0,0,0,0,0,0,827666,32000,795666,0
20000,1,1,2,40,0,0,0,2,0,0,1,79047,10600,68447,0
200000,2,3,1,49,0,2,2,2,0,0,3,333047,16286,316761,1
100000,1,1,2,27,0,0,0,0,0,0,0,194503,4871,189632,0
60000,1,2,2,23,0,0,0,0,0,0,0,171532,8013,163519,1
110000,2,2,2,36,0,0,0,0,0,0,0,303817,13500,290317,0
260000,2,3,1,53,1,0,0,0,0,0,1,2025,2484,-459,0
50000,2,3,1,46,3,2,2,0,0,0,3,213516,7372,206144,0
180000,1,2,2,29,1,0,0,0,0,0,1,-12,0,-12,0
110000,1,2,2,29,1,2,2,0,0,0,3,311346,10354,300992,1
340000,2,1,2,27,0,0,0,0,0,0,0,923137,90147,832990,0
50000,1,2,2,24,0,0,0,0,0,0,0,31650,11019,20631,0
230000,2,2,1,28,0,0,0,0,0,0,0,55327,11750,43577,1
360000,2,2,2,32,0,0,0,0,0,0,0,575409,57000,518409,0
210000,1,2,2,43,1,0,0,0,0,0,1,160699,52013,108686,0
220000,2,2,1,41,0,2,2,0,2,0,3,3375,1925,1450,1
60000,2,2,1,34,2,2,2,2,2,0,5,170082,10111,159971,1
340000,1,2,1,55,0,0,0,0,0,0,0,137566,164386,-26820,0
150000,1,1,1,40,2,2,2,2,2,2,6,624055,25700,598355,0
200000,2,2,1,37,1,0,2,0,0,0,2,47390,51400,-4010,1
130000,2,2,2,40,0,0,2,0,0,0,1,66514,7200,59314,1
60000,2,1,2,28,1,2,0,0,0,0,2,96266,30696,65570,0
400000,2,2,1,43,1,0,0,0,0,0,1,79988,79988,0,0
20000,1,1,2,27,0,0,0,0,0,0,0,116747,5503,111244,0
190000,2,1,2,28,0,0,0,0,0,0,0,912875,36836,876039,0
260000,2,1,2,30,0,0,0,0,0,0,0,953100,44000,909100,0
140000,2,2,2,31,0,0,0,0,0,0,0,390,0,390,0
50000,2,2,1,31,0,0,0,0,0,0,0,234080,10607,223473,1
120000,2,1,2,34,0,0,0,0,0,0,0,16986,20204,-3218,0
240000,2,2,2,30,0,0,0,0,0,0,0,368,2159,-1791,0
50000,1,2,2,36,0,0,0,0,0,0,0,18847,3390,15457,0
200000,2,1,2,29,0,2,0,0,0,2,2,76669,31055,45614,0
180000,1,1,1,39,0,0,0,0,0,0,0,920802,284903,635899,0
180000,2,1,2,26,0,0,0,0,0,0,0,734847,26710,708137,0
160000,2,1,2,29,0,0,0,0,0,0,0,9832,24500,-14668,0
100000,2,2,2,26,0,0,0,0,0,0,0,19223,13974,5249,0
50000,2,2,2,29,0,0,0,0,0,0,0,273459,13000,260459,1
140000,2,2,2,31,0,0,0,0,0,0,0,839924,34500,805424,0
30000,2,2,2,26,0,0,0,0,0,0,0,117890,6064,111826,1
90000,1,1,2,26,0,0,0,0,0,0,0,86582,31842,54740,0
200000,1,1,1,36,1,0,0,0,0,0,1,-26795,171133,-197928,0
380000,1,1,2,30,1,0,0,0,0,0,1,0,0,0,1
80000,2,2,2,43,0,0,0,0,0,0,0,303152,12045,291107,0
50000,1,3,1,58,2,2,2,0,0,2,4,109216,6673,102543,0
180000,1,2,1,45,0,0,0,0,0,0,0,177278,8781,168497,1
240000,2,2,2,26,0,0,0,0,0,0,0,724940,27398,697542,0
380000,1,2,2,34,0,0,0,0,0,0,0,1082561,64410,1018151,0
110000,2,4,2,24,0,0,0,0,0,0,0,487656,19300,468356,0
260000,1,1,1,34,0,0,0,0,0,0,0,137687,121666,16021,0
500000,2,2,2,23,4,3,2,0,0,0,3,2926653,75500,2851153,1
320000,2,2,2,30,0,0,0,0,0,0,0,436318,15669,420649,0
50000,1,2,2,32,4,3,2,0,0,0,3,248859,5485,243374,0
110000,1,1,1,40,1,0,0,0,0,0,1,4498,2564,1934,1
230000,2,1,2,35,0,0,0,0,0,0,0,3314,3073,241,0
330000,2,2,1,56,1,0,0,0,0,0,1,15640,16061,-421,0
50000,2,2,1,61,0,0,0,0,0,0,0,218302,10251,208051,0
10000,1,2,2,24,0,2,2,2,0,0,3,14752,1650,13102,0
300000,1,1,1,40,1,0,0,0,0,0,1,0,0,0,0
20000,2,2,1,32,3,2,0,0,0,0,2,93331,3190,90141,1
180000,1,2,1,36,2,2,0,0,0,0,2,83538,0,83538,1
160000,1,1,2,30,0,0,0,0,0,0,0,61480,119926,-58446,0
90000,2,1,2,34,0,0,0,2,2,2,3,253776,20640,233136,0
30000,1,3,3,54,0,0,0,0,0,0,0,141140,12000,129140,0
180000,1,1,1,46,0,0,0,0,0,0,0,836186,189463,646723,0
30000,1,3,1,58,0,0,0,0,0,0,0,126272,8016,118256,0
30000,1,2,1,43,1,2,0,0,0,2,3,132258,7488,124770,0
140000,2,1,2,28,0,0,0,0,0,0,0,45024,35946,9078,0
210000,1,1,2,30,0,0,0,0,0,0,0,327465,25500,301965,0
50000,1,2,2,31,0,0,0,0,0,0,0,83951,16327,67624,1
130000,2,2,2,29,0,0,0,0,0,0,0,472379,20500,451879,0
50000,2,2,1,37,2,2,2,0,0,0,3,16397,3500,12897,1
140000,1,3,1,36,0,0,0,0,0,0,0,538393,47700,490693,0
